[05:29:12] [Server thread/INFO]: [DeluxeMenus] 3 GUI menus loaded!
[05:29:12] [Server thread/INFO]: [PlaceholderAPI] Successfully registered internal expansion: deluxemenus [1.14.1-Release]
[05:29:12] [Server thread/INFO]: [DeluxeMenus] You are running the latest version of DeluxeMenus!
[05:29:12] [Server thread/INFO]: [AerethCreatorFragmentBridge] Enabling AerethCreatorFragmentBridge v1.0.1
[05:29:12] [Server thread/INFO]: [AerethCreatorFragmentBridge] AerethCreatorFragmentBridge enabled. CharacterCreator -> FragmentEngine mirror armed.
[05:29:12] [Server thread/INFO]: [PlaceholderAPI] Placeholder expansion registration initializing...
[05:29:12] [Server thread/INFO]: Running delayed init tasks
[05:29:12] [ForkJoinPool.commonPool-worker-7/INFO]: [ModelEngine] [A] 
[05:29:12] [ForkJoinPool.commonPool-worker-7/INFO]: [ModelEngine] [A] [Importing models]
[05:29:12] [ForkJoinPool.commonPool-worker-7/INFO]: [ModelEngine] [A] Loading cache version: R4.0.8
[05:29:12] [Craft Scheduler Thread - 4 - DecentHolograms/INFO]: 
A newer version of DecentHolograms is available. Download it from: 
- https://www.spigotmc.org/resources/96927/
- https://modrinth.com/plugin/decentholograms
[05:29:12] [pool-19-thread-2/INFO]: [ModelEngine] [A] 
[05:29:12] [pool-19-thread-2/INFO]: [ModelEngine] [A] Importing aereth_remnant_preview_v2.bbmodel.
[05:29:12] [pool-19-thread-2/WARN]: [ModelEngine] [A] --Warning: Missing hitbox.
[05:29:12] [pool-19-thread-1/INFO]: [ModelEngine] [A] 
[05:29:12] [pool-19-thread-1/INFO]: [ModelEngine] [A] Importing aereth_delver_preview_v2.bbmodel.
[05:29:12] [pool-19-thread-1/WARN]: [ModelEngine] [A] --Warning: Missing hitbox.
[05:29:12] [pool-19-thread-3/INFO]: [ModelEngine] [A] 
[05:29:12] [pool-19-thread-3/INFO]: [ModelEngine] [A] Importing aereth_sylvae_preview_v2.bbmodel.
